birth_year,gender,user_type,origin_station_id,desti_station_id,rent_hour,return_hour,rent_minute_of_day,return_minute_of_day
1991,\N,내국인,ST-1531,ST-665,18,18,1101,1106
1982,M,내국인,ST-1403,ST-622,9,9,558,565
\N,M,내국인,ST-3032,ST-3032,6,6,371,371
1982,\N,내국인,ST-1403,ST-623,15,15,940,950
1991,\N,내국인,ST-619,ST-619,15,15,953,953
1983,M,내국인,ST-622,ST-1403,16,16,994,998
\N,M,내국인,ST-1403,ST-665,13,13,800,808
1994,F,내국인,ST-619,ST-1734,13,13,826,827
2003,\N,내국인,ST-666,ST-1219,0,0,27,30
\N,\N,내국인,ST-1219,ST-1403,10,10,646,659
1996,F,내국인,ST-3032,ST-619,6,6,411,415
1964,M,내국인,ST-1531,ST-1403,9,9,542,556
1975,F,내국인,ST-622,ST-1403,14,14,892,896
2003,M,내국인,ST-622,ST-619,17,17,1052,1059
1996,,내국인,ST-620,ST-1403,21,21,1273,1277
1966,M,내국인,ST-1734,ST-619,17,17,1062,1065
1991,\N,내국인,ST-622,ST-1403,17,17,1055,1059
1955,M,내국인,ST-665,ST-666,6,6,413,419
1970,\N,내국인,ST-1734,ST-1403,18,18,1085,1095
1998,F,내국인,ST-665,ST-1403,8,8,505,513
2002,M,내국인,ST-666,ST-1219,22,22,1366,1368
1997,F,내국인,ST-1403,ST-620,0,0,1,4
1995,M,내국인,ST-619,ST-622,8,8,497,501
1993,M,내국인,ST-619,ST-622,12,12,767,773
1979,M,내국인,ST-3225,ST-666,8,8,531,536
2000,\N,내국인,ST-1734,ST-1734,19,19,1174,1174
1972,F,내국인,ST-1531,ST-1219,15,15,919,927
1977,M,내국인,ST-1403,ST-620,8,8,485,489
1996,F,내국인,ST-3225,ST-666,18,18,1123,1127
\N,M,내국인,ST-3032,ST-622,8,8,510,517
1942,M,내국인,ST-620,ST-1403,13,13,812,816
\N,M,내국인,ST-666,ST-1219,18,18,1132,1136
1965,M,내국인,ST-1403,ST-3225,17,17,1055,1066
1968,\N,내국인,ST-620,ST-1403,22,22,1342,1354
1966,M,내국인,ST-619,ST-3032,21,22,1316,1320
1990,\N,내국인,ST-622,ST-619,20,20,1206,1209
1975,M,내국인,ST-619,ST-623,7,7,454,458
1996,F,내국인,ST-1403,ST-1403,21,21,1264,1264
1992,\N,내국인,ST-619,ST-623,8,8,500,504
1967,\N,내국인,ST-1531,ST-665,21,21,1287,1292
1980,F,내국인,ST-1531,ST-665,18,18,1091,1096
1992,M,내국인,ST-620,ST-622,8,9,537,546
2000,\N,내국인,ST-1219,ST-1219,16,16,1003,1003
1995,\N,내국인,ST-623,ST-619,17,17,1037,1043
1996,\N,내국인,ST-3225,ST-666,8,8,528,531
1990,M,내국인,ST-621,ST-1403,13,13,830,834
1972,F,내국인,ST-666,ST-3225,17,17,1036,1039
1991,M,내국인,ST-1403,ST-619,19,19,1147,1156
1991,\N,내국인,ST-665,ST-666,8,8,514,519
1974,M,내국인,ST-623,ST-619,21,21,1306,1311
2007,F,내국인,ST-1219,ST-1219,17,17,1056,1059
1989,\N,내국인,ST-621,ST-1403,8,8,483,485
1999,,내국인,ST-666,ST-665,11,11,706,713
1978,M,내국인,ST-623,ST-1403,18,18,1119,1125
1982,F,내국인,ST-3032,ST-619,11,11,691,695
1993,\N,내국인,ST-622,ST-619,17,17,1028,1032
1992,M,내국인,ST-666,ST-3225,8,8,514,523
1983,M,내국인,ST-623,ST-1531,18,18,1096,1109
1954,M,내국인,ST-1219,ST-1403,8,8,515,526
1996,\N,내국인,ST-1531,ST-1531,23,23,1396,1396
1988,M,내국인,ST-1403,ST-623,9,9,558,566
1996,\N,내국인,ST-1531,ST-665,18,18,1100,1104
1993,M,내국인,ST-3225,ST-666,18,18,1082,1086
1991,M,내국인,ST-622,ST-619,17,17,1022,1026
1981,M,내국인,ST-665,ST-666,10,10,602,608
1985,M,내국인,ST-3225,ST-666,18,18,1130,1134
1989,M,내국인,ST-3225,ST-3225,7,7,423,441
1995,,내국인,ST-1403,ST-665,9,9,550,563
1986,M,내국인,ST-665,ST-666,20,20,1249,1255
1973,M,내국인,ST-622,ST-622,18,18,1129,1130
1978,M,내국인,ST-1403,ST-623,11,11,713,719
1994,M,내국인,ST-623,ST-1403,18,18,1088,1094
1994,\N,내국인,ST-666,ST-1403,9,9,584,595
1994,\N,내국인,ST-620,ST-1734,7,7,455,469
1995,,내국인,ST-1403,ST-1403,19,19,1174,1175
1971,M,내국인,ST-3225,ST-666,10,10,641,644
1988,M,내국인,ST-3032,ST-623,7,7,423,429
1985,F,내국인,ST-3032,ST-3032,15,16,959,960
1972,M,내국인,ST-1403,ST-622,8,8,507,514
1993,M,내국인,ST-666,ST-3225,8,8,521,526
1996,F,내국인,ST-622,ST-1403,17,17,1037,1040
1996,\N,내국인,ST-3225,ST-666,18,18,1128,1132
2002,M,내국인,ST-1403,ST-622,8,8,515,520
1985,\N,내국인,ST-1734,ST-622,12,12,752,756
1975,M,내국인,ST-3225,ST-1403,8,9,538,551
1969,M,내국인,ST-3225,ST-666,9,9,565,568
1967,\N,내국인,ST-620,ST-1403,18,19,1137,1158
1973,F,내국인,ST-1219,ST-1403,8,8,508,518
1972,M,내국인,ST-621,ST-1403,9,9,541,544
1981,M,내국인,ST-666,ST-665,22,22,1322,1329
1973,M,내국인,ST-666,ST-3225,17,17,1062,1066
1993,\N,내국인,ST-665,ST-1403,7,8,470,480
1971,M,내국인,ST-666,ST-665,0,0,41,49
