rent_datetime_30min,origin_station_id,desti_station_id,count
2023-01-02 00:00:00,ST-611,ST-1118,3
2023-01-02 06:30:00,ST-2718,ST-2792,3
2023-01-02 07:30:00,ST-2107,ST-1137,4
2023-01-02 07:30:00,ST-3110,ST-2087,5
2023-01-02 08:30:00,ST-2076,ST-1474,3
2023-01-02 20:00:00,ST-1639,ST-2079,3
2023-01-02 23:30:00,ST-1118,ST-613,3
2023-01-03 07:00:00,ST-1466,ST-1137,3
2023-01-03 07:00:00,ST-2107,ST-1137,4
2023-01-03 07:30:00,ST-2716,ST-1285,3
2023-01-03 07:30:00,ST-606,ST-2792,3
2023-01-03 12:00:00,ST-1349,ST-1349,3
2023-01-03 22:00:00,ST-1137,ST-2107,3
2023-01-04 06:30:00,ST-2718,ST-2792,4
2023-01-04 07:00:00,ST-2068,ST-2896,3
2023-01-04 07:00:00,ST-2709,ST-1125,3
2023-01-04 07:00:00,ST-3060,ST-735,3
2023-01-04 07:30:00,ST-2107,ST-1137,5
2023-01-04 07:30:00,ST-2716,ST-1285,5
2023-01-04 07:30:00,ST-606,ST-2792,3
2023-01-04 09:00:00,ST-2702,ST-735,3
2023-01-04 10:30:00,ST-2835,ST-914,3
2023-01-04 13:00:00,ST-1285,ST-2754,3
2023-01-04 20:00:00,ST-1474,ST-1474,3
2023-01-04 20:30:00,ST-2726,ST-1292,3
2023-01-05 00:30:00,ST-2086,ST-2086,3
2023-01-05 07:00:00,ST-2068,ST-2896,3
2023-01-05 07:30:00,ST-2107,ST-1137,4
2023-01-05 07:30:00,ST-3110,ST-2087,3
2023-01-05 09:30:00,ST-2107,ST-1137,3
2023-01-05 11:30:00,ST-2081,ST-604,3
2023-01-05 13:00:00,ST-1111,ST-1111,3
2023-01-05 15:00:00,ST-2896,ST-2896,3
2023-01-05 15:30:00,ST-2717,ST-2717,3
2023-01-05 16:00:00,ST-1291,ST-1291,3
2023-01-05 18:00:00,ST-1285,ST-2716,3
2023-01-05 18:30:00,ST-1137,ST-2107,3
2023-01-05 22:00:00,ST-2791,ST-2791,3
2023-01-05 23:00:00,ST-1119,ST-1120,3
2023-01-06 05:30:00,ST-2107,ST-1137,3
2023-01-06 06:30:00,ST-2718,ST-2792,4
2023-01-06 07:00:00,ST-2107,ST-1137,3
2023-01-06 09:00:00,ST-1278,ST-1278,3
2023-01-06 12:30:00,ST-1118,ST-611,7
2023-01-06 13:30:00,ST-3060,ST-1349,3
2023-01-06 16:00:00,ST-1349,ST-3060,3
2023-01-06 17:30:00,ST-1137,ST-2107,3
2023-01-06 17:30:00,ST-2702,ST-1475,3
2023-01-06 20:00:00,ST-914,ST-914,3
2023-01-09 07:00:00,ST-2107,ST-1137,3
2023-01-09 07:30:00,ST-2107,ST-1137,3
2023-01-09 07:30:00,ST-3110,ST-2087,3
2023-01-09 09:00:00,ST-2107,ST-1137,4
2023-01-09 09:30:00,ST-3060,ST-2081,4
2023-01-09 15:30:00,ST-2718,ST-2718,3
2023-01-09 18:00:00,ST-1125,ST-2709,3
2023-01-09 18:30:00,ST-1137,ST-1137,3
2023-01-09 19:00:00,ST-1137,ST-2107,3
2023-01-09 23:00:00,ST-2107,ST-611,3
2023-01-10 07:00:00,ST-1278,ST-2087,3
2023-01-10 07:00:00,ST-2107,ST-1137,4
2023-01-10 07:00:00,ST-2726,ST-2726,3
2023-01-10 07:00:00,ST-2835,ST-2087,3
2023-01-10 07:30:00,ST-2107,ST-1137,4
2023-01-10 07:30:00,ST-2835,ST-914,3
2023-01-10 07:30:00,ST-3110,ST-2087,4
2023-01-10 08:30:00,ST-1476,ST-1125,3
2023-01-10 13:30:00,ST-2081,ST-3060,3
2023-01-10 14:30:00,ST-2097,ST-1137,3
2023-01-10 14:30:00,ST-3060,ST-2081,3
