station_id,community_id
ST-1063,0
ST-2884,0
ST-3128,0
ST-2482,0
ST-2538,0
ST-975,0
ST-2890,0
ST-2040,0
ST-2058,0
ST-3129,0
ST-2033,0
ST-1514,0
ST-1064,0
ST-2059,0
ST-2945,0
ST-1718,0
ST-514,0
ST-1352,0
ST-2031,0
ST-1065,0
ST-1253,0
ST-512,0
ST-1711,0
ST-2050,0
ST-2035,0
ST-2056,0
ST-1645,0
ST-2044,0
ST-1712,0
ST-1254,0
ST-2049,0
ST-2032,0
ST-2411,0
ST-2871,0
ST-3251,0
ST-2886,0
ST-3145,0
ST-1338,0
ST-1709,0
ST-831,0
ST-513,0
ST-2889,0
ST-2490,0
ST-2943,0
ST-1351,0
ST-1250,0
ST-1251,0
ST-2045,0
ST-2419,0
ST-2832,0
ST-2034,0
ST-2046,0
ST-2041,0
ST-2491,0
ST-1710,0
ST-2412,0
ST-2052,0
ST-1517,0
ST-2965,0
ST-2831,0
ST-508,0
ST-1727,0
ST-2037,0
ST-1676,0
ST-824,0
ST-1689,0
ST-2036,0
ST-1688,0
ST-2057,0
ST-1402,0
ST-2858,0
ST-2993,0
ST-1046,1
ST-2797,1
ST-1070,1
ST-1584,1
ST-1409,1
ST-1586,1
ST-553,1
ST-1730,1
ST-1862,1
ST-1866,1
ST-2876,1
ST-550,1
ST-1627,1
ST-1859,1
ST-1878,1
ST-1869,1
ST-891,1
ST-1081,1
ST-1590,1
ST-3141,1
ST-542,1
ST-3070,1
ST-1851,1
ST-1582,1
ST-1793,1
ST-2574,1
ST-1083,1
ST-2796,1
ST-894,1
ST-1092,1
ST-1867,1
ST-541,1
ST-3214,1
ST-1684,1
ST-1868,1
ST-2833,1
ST-2601,1
ST-2596,1
ST-1681,1
ST-2594,1
ST-1041,1
ST-422,2
ST-1698,2
ST-413,2
ST-282,2
ST-1650,2
ST-426,2
ST-2807,2
ST-277,2
ST-293,2
ST-421,2
ST-1649,2
ST-292,2
ST-281,2
ST-289,2
ST-1986,2
ST-1653,2
ST-1539,2
ST-2806,2
ST-1972,2
ST-416,2
ST-1973,2
ST-287,2
ST-1320,2
ST-1977,2
ST-294,2
ST-2820,2
ST-3187,2
ST-2822,2
ST-2920,2
ST-278,2
ST-3011,2
ST-2812,2
ST-295,2
ST-1701,2
ST-2815,2
ST-280,2
ST-1968,2
ST-1546,3
ST-1221,3
ST-3105,3
ST-1224,3
ST-704,3
ST-724,3
ST-1753,3
ST-670,3
ST-1521,3
ST-1220,3
ST-2817,3
ST-1237,3
ST-669,3
ST-713,3
ST-1678,3
ST-2614,3
ST-2826,3
ST-702,3
ST-733,3
ST-2996,3
ST-952,3
ST-1265,3
ST-703,3
ST-2851,3
ST-2653,3
ST-883,3
ST-2873,3
ST-705,3
ST-668,3
ST-2823,3
ST-428,4
ST-2764,4
ST-2014,4
ST-2760,4
ST-2017,4
ST-1005,4
ST-2396,4
ST-311,4
ST-1996,4
ST-2007,4
ST-2960,4
ST-1000,4
ST-312,4
ST-2398,4
ST-2397,4
ST-2011,4
ST-2016,4
ST-2013,4
ST-2692,4
ST-2765,4
ST-3163,4
ST-315,4
ST-2395,4
ST-2005,4
ST-1504,4
ST-2761,4
ST-3047,4
ST-2012,4
ST-2879,4
ST-99,5
ST-257,5
ST-2547,5
ST-98,5
ST-984,5
ST-2314,5
ST-2308,5
ST-2305,5
ST-258,5
ST-987,5
ST-1660,5
ST-2542,5
ST-2865,5
ST-1663,5
ST-980,5
ST-974,5
ST-483,5
ST-102,5
ST-972,5
ST-2545,5
ST-2546,5
ST-1429,5
ST-2891,5
ST-1019,6
