rent_datetime_30min,origin_station_id,desti_station_id,count
2023-01-01 01:00:00,ST-891,ST-1681,3
2023-01-01 01:30:00,ST-1681,ST-1681,3
2023-01-01 02:30:00,ST-891,ST-1705,5
2023-01-01 04:00:00,ST-891,ST-3131,3
2023-01-01 04:00:00,ST-891,ST-891,3
2023-01-01 06:30:00,ST-1730,ST-1719,4
2023-01-01 07:00:00,ST-1086,ST-1719,3
2023-01-01 07:00:00,ST-1730,ST-1719,4
2023-01-01 07:00:00,ST-1851,ST-1719,3
2023-01-01 08:30:00,ST-1719,ST-1851,3
2023-01-01 14:30:00,ST-2991,ST-2991,3
2023-01-01 21:00:00,ST-1681,ST-2876,3
2023-01-07 12:30:00,ST-2876,ST-2876,3
2023-01-07 15:00:00,ST-1681,ST-891,3
2023-01-07 15:30:00,ST-1086,ST-1086,3
2023-01-07 15:30:00,ST-891,ST-1590,3
2023-01-07 16:30:00,ST-2876,ST-2594,3
2023-01-07 17:30:00,ST-2833,ST-2833,3
2023-01-07 19:30:00,ST-1681,ST-2876,3
2023-01-07 22:30:00,ST-1862,ST-1681,3
2023-01-08 09:00:00,ST-1087,ST-1087,3
2023-01-08 09:00:00,ST-2833,ST-550,3
2023-01-08 14:30:00,ST-550,ST-2797,3
2023-01-08 15:30:00,ST-1081,ST-891,3
2023-01-08 15:30:00,ST-891,ST-1586,3
2023-01-08 16:30:00,ST-1729,ST-1590,3
2023-01-08 16:30:00,ST-3162,ST-1590,3
2023-01-08 19:00:00,ST-2796,ST-2796,3
2023-01-14 08:00:00,ST-2991,ST-840,3
2023-01-15 14:30:00,ST-839,ST-891,3
2023-01-15 19:30:00,ST-1719,ST-1719,3
2023-01-15 20:00:00,ST-1868,ST-2833,3
2023-01-15 20:00:00,ST-909,ST-909,3
2023-01-15 21:30:00,ST-2796,ST-2796,4
2023-01-15 22:00:00,ST-1719,ST-1719,3
2023-01-21 18:30:00,ST-1867,ST-909,3
2023-01-21 19:30:00,ST-1862,ST-891,4
2023-01-21 19:30:00,ST-909,ST-1867,3
2023-01-21 20:00:00,ST-891,ST-547,3
2023-01-21 21:00:00,ST-547,ST-1584,3
2023-01-21 21:00:00,ST-547,ST-547,3
2023-01-22 11:30:00,ST-548,ST-548,3
2023-01-22 15:30:00,ST-1730,ST-1730,3
2023-01-22 16:30:00,ST-1730,ST-1730,3
2023-01-23 11:00:00,ST-548,ST-548,4
2023-01-23 16:30:00,ST-542,ST-1586,3
2023-01-23 17:30:00,ST-840,ST-547,3
2023-01-23 18:00:00,ST-1582,ST-1582,3
2023-01-28 07:30:00,ST-2876,ST-1681,3
2023-01-28 11:30:00,ST-894,ST-894,3
2023-01-28 13:00:00,ST-1582,ST-1681,3
2023-01-28 13:00:00,ST-891,ST-1586,3
2023-01-28 14:00:00,ST-1859,ST-1868,3
2023-01-28 14:00:00,ST-1868,ST-1868,4
2023-01-28 17:30:00,ST-2876,ST-2876,3
2023-01-28 18:30:00,ST-550,ST-1705,3
2023-01-29 13:00:00,ST-1586,ST-2876,4
2023-01-29 13:30:00,ST-1797,ST-547,3
2023-01-29 13:30:00,ST-2876,ST-1681,3
2023-01-29 13:30:00,ST-2991,ST-547,3
2023-01-29 16:00:00,ST-891,ST-891,3
2023-01-29 17:00:00,ST-1681,ST-2876,3
2023-01-29 17:00:00,ST-2991,ST-547,3
2023-01-29 17:30:00,ST-1719,ST-1589,3
2023-01-29 17:30:00,ST-550,ST-1859,3
2023-01-29 18:00:00,ST-1586,ST-1862,4
2023-01-29 18:30:00,ST-1868,ST-1582,3
2023-01-29 18:30:00,ST-2833,ST-1868,3
2023-01-29 19:00:00,ST-550,ST-553,3
2023-01-29 20:00:00,ST-553,ST-553,3
2023-01-29 20:30:00,ST-1681,ST-2876,3
2023-01-29 21:00:00,ST-1586,ST-2991,3
2023-01-29 23:00:00,ST-1681,ST-908,3
2023-02-04 09:30:00,ST-2991,ST-840,3
2023-02-04 10:30:00,ST-547,ST-1681,3
2023-02-04 12:00:00,ST-1728,ST-1868,4
2023-02-04 16:30:00,ST-1681,ST-2876,3
2023-02-04 17:00:00,ST-1586,ST-1681,3
2023-02-04 17:00:00,ST-1586,ST-553,4
2023-02-04 17:00:00,ST-496,ST-496,3
2023-02-04 17:30:00,ST-1705,ST-1705,4
2023-02-04 17:30:00,ST-1868,ST-1868,3
2023-02-04 18:00:00,ST-1590,ST-891,3
2023-02-04 18:30:00,ST-1590,ST-1590,3
2023-02-04 18:30:00,ST-550,ST-550,3
2023-02-04 19:00:00,ST-1584,ST-1584,3
2023-02-04 19:00:00,ST-891,ST-1586,3
2023-02-04 19:00:00,ST-891,ST-2797,3
2023-02-04 21:30:00,ST-1584,ST-2833,3
2023-02-04 21:30:00,ST-1590,ST-1590,3
2023-02-05 00:00:00,ST-891,ST-891,6
2023-02-05 10:30:00,ST-1586,ST-891,4
2023-02-05 12:00:00,ST-1868,ST-1867,3
2023-02-05 12:30:00,ST-1851,ST-1868,3
2023-02-05 13:00:00,ST-1862,ST-1586,4
2023-02-05 14:00:00,ST-1086,ST-1719,3
2023-02-05 14:00:00,ST-1087,ST-1087,3
2023-02-05 14:30:00,ST-1586,ST-891,3
2023-02-05 15:00:00,ST-2594,ST-1584,5
2023-02-05 15:00:00,ST-550,ST-548,3
2023-02-05 15:30:00,ST-2876,ST-891,3
2023-02-05 16:00:00,ST-891,ST-1730,3
2023-02-05 16:30:00,ST-1584,ST-2594,3
2023-02-05 16:30:00,ST-1868,ST-1681,4
2023-02-05 19:00:00,ST-1586,ST-1586,3
2023-02-05 19:30:00,ST-891,ST-1590,3
2023-02-05 20:30:00,ST-1864,ST-550,3
2023-02-11 01:00:00,ST-838,ST-1729,7
2023-02-11 09:00:00,ST-1729,ST-1729,3
2023-02-11 11:00:00,ST-2991,ST-547,3
2023-02-11 12:00:00,ST-1086,ST-1730,3
2023-02-11 12:00:00,ST-1729,ST-1729,3
2023-02-11 13:30:00,ST-1070,ST-1586,4
2023-02-11 13:30:00,ST-1681,ST-2609,4
2023-02-11 13:30:00,ST-1868,ST-2833,3
2023-02-11 13:30:00,ST-2991,ST-840,3
2023-02-11 14:00:00,ST-550,ST-2797,3
2023-02-11 15:00:00,ST-2991,ST-840,3
2023-02-11 15:30:00,ST-1582,ST-547,3
2023-02-11 16:30:00,ST-1859,ST-1866,3
2023-02-11 17:30:00,ST-1868,ST-1793,3
2023-02-11 17:30:00,ST-1868,ST-1868,3
2023-02-11 18:00:00,ST-550,ST-1728,3
2023-02-11 18:30:00,ST-1681,ST-2876,4
2023-02-11 18:30:00,ST-2409,ST-1793,3
2023-02-11 18:30:00,ST-3214,ST-891,5
2023-02-11 19:00:00,ST-1851,ST-891,3
2023-02-11 22:00:00,ST-1730,ST-3214,3
2023-02-11 22:00:00,ST-840,ST-2991,3
2023-02-12 11:00:00,ST-542,ST-542,3
2023-02-12 13:00:00,ST-548,ST-539,3
2023-02-12 13:30:00,ST-1590,ST-891,3
2023-02-12 14:00:00,ST-1866,ST-1681,3
2023-02-12 14:30:00,ST-2621,ST-2621,5
2023-02-12 16:00:00,ST-1681,ST-550,3
2023-02-12 16:00:00,ST-1705,ST-1868,4
2023-02-12 16:30:00,ST-1728,ST-2571,3
2023-02-12 16:30:00,ST-1729,ST-1851,3
2023-02-12 17:00:00,ST-1088,ST-1584,3
2023-02-12 17:00:00,ST-1584,ST-1088,3
2023-02-12 17:00:00,ST-1719,ST-1719,7
2023-02-12 17:30:00,ST-1070,ST-891,3
2023-02-12 18:30:00,ST-1868,ST-1868,4
2023-02-12 19:00:00,ST-891,ST-1862,4
2023-02-12 21:00:00,ST-550,ST-550,3
2023-02-12 21:30:00,ST-2593,ST-547,3
2023-02-18 01:00:00,ST-547,ST-1859,5
2023-02-18 11:30:00,ST-1851,ST-1868,3
2023-02-18 12:00:00,ST-1590,ST-550,3
2023-02-18 12:00:00,ST-1867,ST-891,3
2023-02-18 12:30:00,ST-2991,ST-840,3
2023-02-18 12:30:00,ST-546,ST-1681,3
2023-02-18 13:00:00,ST-1705,ST-550,4
2023-02-18 13:30:00,ST-1584,ST-2876,4
2023-02-18 13:30:00,ST-2991,ST-840,3
2023-02-18 13:30:00,ST-894,ST-1681,3
2023-02-18 14:30:00,ST-1862,ST-1728,3
2023-02-18 15:30:00,ST-891,ST-1681,3
2023-02-18 16:30:00,ST-1859,ST-891,3
2023-02-18 16:30:00,ST-891,ST-1582,3
2023-02-18 17:00:00,ST-550,ST-1582,3
2023-02-18 17:30:00,ST-1851,ST-1851,4
2023-02-18 17:30:00,ST-542,ST-3214,3
2023-02-18 18:00:00,ST-1681,ST-891,3
2023-02-18 18:00:00,ST-1730,ST-1070,3
2023-02-18 19:30:00,ST-1797,ST-547,3
2023-02-18 19:30:00,ST-891,ST-1730,3
2023-02-18 22:00:00,ST-1584,ST-2593,3
2023-02-18 22:00:00,ST-891,ST-3214,5
2023-02-18 23:00:00,ST-840,ST-2991,3
2023-02-19 01:30:00,ST-1582,ST-1582,4
2023-02-19 02:00:00,ST-1586,ST-2796,3
2023-02-19 09:30:00,ST-2991,ST-840,3
2023-02-19 12:30:00,ST-1868,ST-1590,3
2023-02-19 13:30:00,ST-542,ST-908,3
2023-02-19 14:00:00,ST-1851,ST-1081,3
2023-02-19 14:00:00,ST-2991,ST-547,3
2023-02-19 14:00:00,ST-894,ST-1681,3
2023-02-19 15:00:00,ST-1070,ST-1730,5
2023-02-19 15:00:00,ST-1076,ST-1076,3
2023-02-19 16:00:00,ST-1586,ST-1586,3
2023-02-19 16:30:00,ST-2596,ST-1859,3
2023-02-19 16:30:00,ST-548,ST-891,3
2023-02-19 17:00:00,ST-1868,ST-2796,3
2023-02-19 17:30:00,ST-548,ST-550,3
2023-02-19 18:00:00,ST-1681,ST-894,3
2023-02-19 18:00:00,ST-2876,ST-2876,3
2023-02-19 19:30:00,ST-1681,ST-2609,3
2023-02-19 20:00:00,ST-2796,ST-1070,3
2023-02-19 22:00:00,ST-909,ST-547,3
2023-02-25 01:30:00,ST-2796,ST-2986,3
2023-02-25 09:00:00,ST-1586,ST-891,3
2023-02-25 11:00:00,ST-2797,ST-891,4
2023-02-25 13:00:00,ST-1851,ST-1866,3
2023-02-25 13:00:00,ST-1857,ST-891,3
2023-02-25 13:30:00,ST-2796,ST-838,3
2023-02-25 14:00:00,ST-1081,ST-891,3
2023-02-25 14:00:00,ST-1719,ST-1719,5
2023-02-25 14:30:00,ST-3214,ST-2833,4
2023-02-25 15:00:00,ST-1590,ST-547,3
2023-02-25 15:30:00,ST-2609,ST-1681,3
2023-02-25 17:00:00,ST-1681,ST-2609,3
2023-02-25 17:30:00,ST-1590,ST-553,3
2023-02-25 17:30:00,ST-1793,ST-3214,3
2023-02-25 18:00:00,ST-2986,ST-891,3
2023-02-25 19:30:00,ST-3214,ST-550,3
2023-02-25 20:30:00,ST-891,ST-1590,3
2023-02-25 21:30:00,ST-1590,ST-3214,3
2023-02-26 11:00:00,ST-1866,ST-1866,3
2023-02-26 11:30:00,ST-2991,ST-840,3
2023-02-26 12:00:00,ST-1582,ST-1582,3
2023-02-26 12:00:00,ST-2876,ST-3214,3
2023-02-26 13:30:00,ST-1681,ST-2876,3
2023-02-26 13:30:00,ST-891,ST-3214,3
2023-02-26 15:30:00,ST-1730,ST-1081,3
2023-02-26 15:30:00,ST-3214,ST-1586,3
2023-02-26 16:00:00,ST-1087,ST-1087,3
2023-02-26 16:00:00,ST-1584,ST-547,3
2023-02-26 16:00:00,ST-1868,ST-1586,3
2023-02-26 16:00:00,ST-547,ST-1582,3
2023-02-26 16:30:00,ST-2594,ST-1730,3
2023-02-26 17:00:00,ST-1088,ST-547,4
2023-02-26 17:30:00,ST-1868,ST-2409,3
2023-02-26 18:00:00,ST-1730,ST-1719,3
2023-02-26 18:30:00,ST-840,ST-2991,3
2023-02-26 18:30:00,ST-891,ST-1586,3
2023-02-26 20:00:00,ST-3214,ST-1582,3
2023-02-26 20:00:00,ST-909,ST-540,4
