count,origin_id,desti_id
7,ST-1025,ST-1479
3,ST-1025,ST-1482
3,ST-1025,ST-2775
15,ST-1025,ST-2785
3,ST-1025,ST-33
6,ST-1025,ST-454
3,ST-1025,ST-455
10,ST-1025,ST-459
3,ST-1025,ST-460
3,ST-1025,ST-461
7,ST-1025,ST-464
3,ST-1025,ST-481
3,ST-1032,ST-1484
3,ST-1032,ST-2470
3,ST-1032,ST-454
9,ST-1032,ST-456
3,ST-1034,ST-2160
7,ST-1034,ST-2206
3,ST-1034,ST-2207
7,ST-1034,ST-2905
11,ST-1034,ST-89
3,ST-1036,ST-1484
9,ST-1036,ST-2264
3,ST-1036,ST-2470
3,ST-1036,ST-2956
3,ST-1036,ST-33
33,ST-1036,ST-454
21,ST-1036,ST-455
7,ST-1036,ST-461
3,ST-1036,ST-465
7,ST-1036,ST-479
9,ST-1036,ST-89
4,ST-10,ST-11
3,ST-10,ST-12
7,ST-10,ST-18
18,ST-10,ST-20
3,ST-10,ST-2156
17,ST-10,ST-2157
12,ST-10,ST-2167
21,ST-10,ST-2168
3,ST-10,ST-2201
3,ST-10,ST-2874
52,ST-10,ST-2905
9,ST-10,ST-2979
10,ST-10,ST-3017
6,ST-10,ST-32
9,ST-10,ST-339
3,ST-10,ST-340
4,ST-10,ST-342
20,ST-10,ST-4
3,ST-10,ST-443
8,ST-10,ST-5
10,ST-10,ST-7
3,ST-110,ST-1754
3,ST-110,ST-211
28,ST-110,ST-2147
29,ST-110,ST-2149
3,ST-110,ST-2905
9,ST-110,ST-2974
3,ST-110,ST-2977
3,ST-110,ST-3095
3,ST-110,ST-76
6,ST-110,ST-78
3,ST-110,ST-81
6,ST-110,ST-83
6,ST-110,ST-86
3,ST-110,ST-89
3,ST-110,ST-93
30,ST-110,ST-94
6,ST-110,ST-95
4,ST-110,ST-96
3,ST-1190,ST-12
3,ST-1190,ST-1692
3,ST-1190,ST-17
23,ST-1190,ST-18
3,ST-1190,ST-20
3,ST-1190,ST-2157
3,ST-1190,ST-2160
6,ST-1190,ST-2167
32,ST-1190,ST-2168
6,ST-1190,ST-2210
3,ST-1190,ST-2213
6,ST-1190,ST-2905
13,ST-1190,ST-2979
9,ST-1190,ST-3062
6,ST-1190,ST-4
6,ST-1190,ST-5
3,ST-1190,ST-9
3,ST-11,ST-1692
6,ST-11,ST-18
6,ST-11,ST-20
9,ST-11,ST-21
3,ST-11,ST-2152
16,ST-11,ST-2156
7,ST-11,ST-2168
4,ST-11,ST-2532
25,ST-11,ST-2905
7,ST-11,ST-3017
3,ST-11,ST-3139
3,ST-11,ST-32
5,ST-11,ST-339
3,ST-11,ST-342
4,ST-11,ST-344
4,ST-11,ST-4
5,ST-11,ST-443
9,ST-11,ST-5
4,ST-11,ST-6
38,ST-11,ST-8
3,ST-12,ST-18
3,ST-12,ST-2201
9,ST-12,ST-2204
3,ST-12,ST-2213
5,ST-12,ST-2975
3,ST-12,ST-30
4,ST-12,ST-3140
3,ST-12,ST-32
11,ST-1331,ST-1479
9,ST-1331,ST-1482
6,ST-1331,ST-222
3,ST-1331,ST-223
3,ST-1331,ST-2253
3,ST-1331,ST-2257
6,ST-1331,ST-2264
3,ST-1331,ST-2470
25,ST-1331,ST-2775
4,ST-1331,ST-2777
4,ST-1331,ST-2785
3,ST-1331,ST-2825
18,ST-1331,ST-2905
3,ST-1331,ST-2974
13,ST-1331,ST-33
3,ST-1331,ST-349
3,ST-1331,ST-455
6,ST-1331,ST-456
3,ST-1331,ST-457
15,ST-1331,ST-459
15,ST-1331,ST-460
12,ST-1331,ST-461
18,ST-1331,ST-462
3,ST-1331,ST-463
6,ST-1331,ST-464
13,ST-1331,ST-478
3,ST-1331,ST-480
6,ST-1331,ST-87
25,ST-1331,ST-89
4,ST-1331,ST-94
3,ST-1397,ST-18
3,ST-1397,ST-211
3,ST-1397,ST-2160
4,ST-1397,ST-2167
3,ST-1397,ST-2206
9,ST-1397,ST-2536
19,ST-1397,ST-2905
3,ST-1397,ST-2974
4,ST-1397,ST-341
12,ST-1397,ST-342
6,ST-1397,ST-344
6,ST-1397,ST-4
7,ST-1397,ST-5
3,ST-1397,ST-6
3,ST-1397,ST-82
3,ST-1397,ST-85
4,ST-1397,ST-87
6,ST-1397,ST-89
6,ST-1397,ST-9
6,ST-1397,ST-94
4,ST-1397,ST-95
9,ST-1479,ST-2253
6,ST-1479,ST-2785
3,ST-1479,ST-2905
3,ST-1479,ST-347
4,ST-1479,ST-35
3,ST-1479,ST-454
15,ST-1479,ST-455
3,ST-1479,ST-457
6,ST-1479,ST-459
3,ST-1479,ST-464
6,ST-1479,ST-465
3,ST-1479,ST-479
8,ST-1479,ST-89
12,ST-1482,ST-1484
6,ST-1482,ST-2253
6,ST-1482,ST-2264
6,ST-1482,ST-2785
3,ST-1482,ST-3169
20,ST-1482,ST-454
16,ST-1482,ST-455
3,ST-1482,ST-456
3,ST-1482,ST-459
3,ST-1482,ST-460
12,ST-1482,ST-461
13,ST-1482,ST-467
3,ST-1482,ST-478
6,ST-1482,ST-479
3,ST-1484,ST-17
9,ST-1484,ST-2470
3,ST-1484,ST-454
18,ST-1484,ST-455
7,ST-1484,ST-456
11,ST-1484,ST-461
6,ST-1484,ST-464
6,ST-1484,ST-467
17,ST-1491,ST-17
3,ST-1491,ST-1826
10,ST-1491,ST-2213
3,ST-1491,ST-231
18,ST-1491,ST-25
3,ST-1491,ST-3139
4,ST-1491,ST-467
3,ST-1491,ST-555
9,ST-15,ST-20
3,ST-15,ST-207
6,ST-15,ST-21
7,ST-15,ST-2168
3,ST-15,ST-2201
8,ST-15,ST-23
