origin_station_id,desti_station_id,count
ST-10,ST-10,63
ST-10,ST-12,6
ST-10,ST-16,4
ST-10,ST-1692,3
ST-10,ST-18,4
ST-10,ST-20,35
ST-10,ST-2152,3
ST-10,ST-2168,12
ST-10,ST-2204,3
ST-10,ST-2905,25
ST-10,ST-2979,6
ST-10,ST-3017,3
ST-10,ST-3140,3
ST-10,ST-32,3
ST-10,ST-339,10
ST-10,ST-342,6
ST-10,ST-4,3
ST-10,ST-5,3
ST-10,ST-7,12
ST-1000,ST-1000,52
ST-1000,ST-1005,7
ST-1000,ST-1523,3
ST-1000,ST-1731,3
ST-1000,ST-1996,12
ST-1000,ST-2005,4
ST-1000,ST-2006,6
ST-1000,ST-2007,7
ST-1000,ST-2011,24
ST-1000,ST-2013,284
ST-1000,ST-2016,3
ST-1000,ST-2396,6
ST-1000,ST-2397,17
ST-1000,ST-2692,9
ST-1000,ST-2765,9
ST-1000,ST-292,3
ST-1000,ST-2920,3
ST-1000,ST-2961,334
ST-1000,ST-3089,6
ST-1000,ST-315,66
ST-1000,ST-3163,11
ST-1000,ST-3182,3
ST-1000,ST-417,3
ST-1000,ST-919,3
ST-1002,ST-1002,167
ST-1002,ST-1006,21
ST-1002,ST-1015,3
ST-1002,ST-1017,31
ST-1002,ST-1019,25
ST-1002,ST-1495,3
ST-1002,ST-1496,9
ST-1002,ST-1506,3
ST-1002,ST-1508,3
ST-1002,ST-1731,211
ST-1002,ST-1994,25
ST-1002,ST-1995,4
ST-1002,ST-1997,6
ST-1002,ST-2003,3
ST-1002,ST-2005,3
ST-1002,ST-2007,3
ST-1002,ST-2011,6
ST-1002,ST-2012,3
ST-1002,ST-2017,3
ST-1002,ST-2398,9
ST-1002,ST-2564,3
ST-1002,ST-2760,21
ST-1002,ST-2761,7
ST-1002,ST-2767,3
ST-1002,ST-2774,13
ST-1002,ST-2811,4
ST-1002,ST-2820,4
ST-1002,ST-2844,12
ST-1002,ST-2887,4
ST-1002,ST-2960,3
ST-1002,ST-309,6
ST-1002,ST-3104,19
ST-1002,ST-311,3
ST-1002,ST-315,9
ST-1002,ST-3163,3
ST-1002,ST-3227,4
ST-1002,ST-431,12
ST-1002,ST-520,4
ST-1002,ST-534,8
ST-1002,ST-535,14
ST-1002,ST-994,21
ST-1002,ST-997,104
ST-1003,ST-1003,45
ST-1003,ST-1645,3
ST-1003,ST-2027,32
ST-1003,ST-2045,3
ST-1003,ST-2054,3
ST-1003,ST-2551,3
ST-1003,ST-2752,6
ST-1003,ST-320,3
ST-1003,ST-524,24
ST-1003,ST-525,3
ST-1003,ST-535,9
ST-1004,ST-1004,31
ST-1004,ST-1007,3
ST-1004,ST-1014,467
ST-1004,ST-1398,3
ST-1004,ST-2008,7
ST-1004,ST-2769,9
ST-1004,ST-2771,40
ST-1004,ST-313,4
ST-1004,ST-316,121
ST-1004,ST-317,43
ST-1004,ST-3224,148
ST-1005,ST-1002,3
ST-1005,ST-1005,136
ST-1005,ST-1008,3
ST-1005,ST-1498,15
ST-1005,ST-1499,8
ST-1005,ST-1523,6
ST-1005,ST-1731,3
ST-1005,ST-1995,20
ST-1005,ST-1996,12
ST-1005,ST-1997,32
ST-1005,ST-2005,55
ST-1005,ST-2011,298
ST-1005,ST-2012,20
ST-1005,ST-2013,7
ST-1005,ST-2014,58
ST-1005,ST-2017,15
ST-1005,ST-2395,12
ST-1005,ST-2396,47
ST-1005,ST-2760,7
ST-1005,ST-2761,7
ST-1005,ST-2765,155
ST-1005,ST-2960,3
ST-1005,ST-311,36
ST-1005,ST-312,3
ST-1005,ST-313,3
ST-1005,ST-315,3
ST-1005,ST-317,102
ST-1005,ST-428,45
ST-1005,ST-919,5
ST-1006,ST-1002,6
ST-1006,ST-1006,126
ST-1006,ST-1015,251
ST-1006,ST-1017,495
