rent_datetime_30min,origin_station_id,desti_station_id,count
2023-01-01 00:00:00,ST-1332,ST-2282,3
2023-01-01 00:00:00,ST-2018,ST-997,3
2023-01-01 00:00:00,ST-2181,ST-3056,3
2023-01-01 00:00:00,ST-2513,ST-1814,3
2023-01-01 00:00:00,ST-923,ST-923,3
2023-01-01 00:30:00,ST-1065,ST-2994,3
2023-01-01 00:30:00,ST-1201,ST-1201,4
2023-01-01 00:30:00,ST-1435,ST-369,4
2023-01-01 00:30:00,ST-150,ST-1819,3
2023-01-01 00:30:00,ST-185,ST-438,3
2023-01-01 00:30:00,ST-2257,ST-479,3
2023-01-01 00:30:00,ST-2641,ST-629,4
2023-01-01 01:00:00,ST-1201,ST-827,3
2023-01-01 01:00:00,ST-144,ST-144,3
2023-01-01 01:00:00,ST-1880,ST-1654,4
2023-01-01 01:00:00,ST-2431,ST-360,5
2023-01-01 01:00:00,ST-247,ST-247,3
2023-01-01 01:00:00,ST-512,ST-1062,3
2023-01-01 01:00:00,ST-891,ST-1681,3
2023-01-01 01:30:00,ST-1542,ST-1268,3
2023-01-01 01:30:00,ST-1681,ST-1681,3
2023-01-01 01:30:00,ST-1694,ST-522,6
2023-01-01 01:30:00,ST-1780,ST-1812,3
2023-01-01 01:30:00,ST-2031,ST-2035,5
2023-01-01 01:30:00,ST-2826,ST-1265,3
2023-01-01 01:30:00,ST-2826,ST-2653,5
2023-01-01 01:30:00,ST-2826,ST-2654,4
2023-01-01 01:30:00,ST-2826,ST-702,7
2023-01-01 01:30:00,ST-285,ST-1968,6
2023-01-01 01:30:00,ST-328,ST-328,4
2023-01-01 01:30:00,ST-735,ST-3060,3
2023-01-01 02:00:00,ST-112,ST-1690,3
2023-01-01 02:00:00,ST-2826,ST-704,3
2023-01-01 02:00:00,ST-3092,ST-2091,4
2023-01-01 02:00:00,ST-638,ST-638,3
2023-01-01 02:00:00,ST-936,ST-639,3
2023-01-01 02:30:00,ST-1420,ST-1842,7
