birth_year,gender,user_type,origin_station_id,desti_station_id,rent_hour,return_hour,rent_minute_of_day,return_minute_of_day,community,origin_lat,origin_lng,origin_dist_to_subway,desti_lat,desti_lng,desti_dist_to_subway
1969,M,내국인,ST-3128,ST-2031,9,9,589,596,0,37.563648,126.834541,624.8912153301037,37.566925,126.827438,19.851350804892455
1983,F,내국인,ST-3128,ST-2031,17,17,1056,1062,0,37.563648,126.834541,624.8912153301037,37.566925,126.827438,19.851350804892455
1987,F,내국인,ST-3128,ST-2031,16,16,965,970,0,37.563648,126.834541,624.8912153301037,37.566925,126.827438,19.851350804892455
1997,\N,내국인,ST-3128,ST-2031,11,11,690,696,0,37.563648,126.834541,624.8912153301037,37.566925,126.827438,19.851350804892455
1989,\N,내국인,ST-3128,ST-2031,17,17,1024,1027,0,37.563648,126.834541,624.8912153301037,37.566925,126.827438,19.851350804892455
\N,M,내국인,ST-3128,ST-2031,17,17,1034,1041,0,37.563648,126.834541,624.8912153301037,37.566925,126.827438,19.851350804892455
1997,\N,내국인,ST-3128,ST-2031,17,17,1026,1032,0,37.563648,126.834541,624.8912153301037,37.566925,126.827438,19.851350804892455
1987,F,내국인,ST-3128,ST-2031,16,16,963,970,0,37.563648,126.834541,624.8912153301037,37.566925,126.827438,19.851350804892455
1981,\N,내국인,ST-3128,ST-2031,17,17,1059,1063,0,37.563648,126.834541,624.8912153301037,37.566925,126.827438,19.851350804892455
1974,\N,내국인,ST-3128,ST-2031,17,17,1076,1079,0,37.563648,126.834541,624.8912153301037,37.566925,126.827438,19.851350804892455
1994,M,내국인,ST-3128,ST-2031,14,14,858,862,0,37.563648,126.834541,624.8912153301037,37.566925,126.827438,19.851350804892455
1997,\N,내국인,ST-2040,ST-2031,19,19,1140,1150,0,37.560894,126.836693,268.99896849370964,37.566925,126.827438,19.851350804892455
1996,M,내국인,ST-2040,ST-2031,20,20,1216,1225,0,37.560894,126.836693,268.99896849370964,37.566925,126.827438,19.851350804892455
1996,M,내국인,ST-2040,ST-2031,9,9,568,592,0,37.560894,126.836693,268.99896849370964,37.566925,126.827438,19.851350804892455
1998,\N,내국인,ST-2040,ST-2031,20,20,1215,1224,0,37.560894,126.836693,268.99896849370964,37.566925,126.827438,19.851350804892455
